0.4 0.1; 90.0 59.999999999999986 29.999999999999993 29.999999999999993 -29.999999999999993; 0.1 0.1 0.1 0.1 0.1
0.4 0.1; 89.18019604915784 60.2225254478221 29.711200795271083 53.049711120110835 -29.946748316262642; 0.09999705162747755 0.10017447766102171 0.10013145483412869 0.10019156943428416 0.10029924710464862
0.4 0.1; 86.88166103050374 59.17351105179856 20.338524052397933 54.59383786568373 -28.247894323018297; 0.09999650956095635 0.10166374720328303 0.12262108031190479 0.1025355388111072 0.10002191257189229
0.4 0.1; 79.16661159320914 55.19446079194225 17.411879034888866 62.51383830809427 -12.294033596143874; 0.1011610449046687 0.10458824108648361 0.11756252280936293 0.10263937503946426 0.09946956590594574
0.4 0.1; 75.5876662318372 55.77083168561187 15.783006749142723 63.041269165529194 -11.64751110864418; 0.1020309185099841 0.1048635130222733 0.11899834707826715 0.10569037335297117 0.0992370104743581
0.4 0.1; 75.57884506171861 59.21882298382144 7.661801070163854 88.56679391794346 -9.499018233357557; 0.1021780162991755 0.10502870336911685 0.11803119133158485 0.10550414580750286 0.0989492178112642
0.4 0.1; 75.45547392784854 68.68727781178585 -6.3442316543029955 87.94916710469533 -0.5430908094164312; 0.10152980343083853 0.09948583305109773 0.11826981384606937 0.10938866120665432 0.09973949650954128
0.4 0.1; 74.36136737168515 73.95400688567501 -20.689238292048405 89.4641373438876 6.601129453533543; 0.10433509757619737 0.09921162216051842 0.1183020942743599 0.11028961784271592 0.09911507590996013
0.4 0.1; 80.33919186729754 74.14172684958984 -23.486618497171435 92.82619344746813 -19.05282987120184; 0.10434042530450542 0.09924630528245526 0.11814339481896304 0.10883050410328617 0.09928771994220262
0.4 0.1; 81.53727509096464 80.37005741314447 -42.1518550058362 92.95955975261693 -22.842051411194575; 0.0990517631318107 0.10062047437476289 0.11766557867155378 0.10993436121823422 0.09992857355929216
0.4 0.1; 86.12018246610289 76.0362195420117 -51.57800010937625 90.49966998275868 -24.847831209322255; 0.09893467007570524 0.10687908054082183 0.12296847795753277 0.11185405961243998 0.10356413506906818
0.4 0.1; 84.1101641045942 109.86599964969584 -52.03843214831443 88.83076479851229 -25.180375767118843; 0.10056397783990624 0.10486939397543785 0.12478079489045704 0.11187190307878128 0.10391803681164727
0.4 0.1; 81.04297556004137 109.92023943923887 -54.50313143370762 95.84724915741067 -25.289600759087516; 0.10006641054301507 0.10658610379169829 0.12477271737842814 0.11145037493810503 0.10460940899117514
