0.5 0.1; 135.0 45.0 29.999999999999993 29.999999999999993; 0.1 0.1 0.1 0.1
0.5 0.1; 134.9999467763483 51.18468022697135 29.998610427136605 30.00227754024224; 0.10000000858967233 0.1000000564935789 0.10000064937064695 0.10000003524608195
0.5 0.1; 134.7181722930503 51.32941446530461 29.99501429891239 31.521611467775; 0.11057844188365501 0.10729687013122419 0.10523675069039169 0.10775986320188792
0.5 0.1; 134.01361587889264 53.556471968843965 29.64955835298335 28.000137600144303; 0.12379533623260305 0.10730151977635316 0.10535113161197211 0.10775882465646165
0.5 0.1; 133.7421180319108 53.559467140489204 29.68467835849145 27.25668312996202; 0.12362894312875002 0.10778647259769125 0.10535176732312225 0.10779918516114075
0.5 0.1; 130.476837945177 53.77502572506944 29.735362461817726 26.918522109373995; 0.12401754688710047 0.10971917485064843 0.10690587763162503 0.10860717328008657
0.5 0.1; 130.07630805891213 53.791356732241375 29.74486937349907 21.308169736243663; 0.12420247602309097 0.10979023399172264 0.10707222843478803 0.11051073386657993
0.5 0.1; 127.48667190910324 51.56161548395142 30.789219947366032 21.270391461633846; 0.12542249837597452 0.11036265680979263 0.10902606397167161 0.10787039196506183
0.5 0.1; 127.42197184038773 50.89273709022241 31.88535249991345 16.862701323707938; 0.12556675837485043 0.11085266504188825 0.10908890172508895 0.10788404273360476
0.5 0.1; 121.57051489249399 52.789760200293415 31.91635161455881 16.77967225835409; 0.12248562124931324 0.11093877577053146 0.10911328779289427 0.10952205958722275
0.5 0.1; 121.56727197832839 49.0397383816966 31.936224263439318 16.76358640763109; 0.12282655058774748 0.11109646633548725 0.10911330282282251 0.1096226371691084
0.5 0.1; 121.30747234282451 42.96671091057033 33.13412425184659 16.838743054864427; 0.13232210170818146 0.11088964245938084 0.10925463580889513 0.10976452941438354
0.5 0.1; 120.00274691700494 42.43007804341347 35.290425659409486 12.736361822624932; 0.13819087450323353 0.11452851351331224 0.11426539273162918 0.1114979352261954
0.5 0.1; 119.92548049126447 42.266098002119854 35.29050956206345 5.571103994924291; 0.1379352516855951 0.11461307174159928 0.11438064852441968 0.11154867484542082
0.5 0.1; 119.92409650298826 33.623645726433324 35.30764385087164 5.445142996041887; 0.13793488861769604 0.11461361727297292 0.11438545045184137 0.1115495803714136
0.5 0.1; 119.91416142862442 33.60300688090856 37.50642574684563 3.718068237904515; 0.1379172790950454 0.11461305534461008 0.11451897651299278 0.11156724094359527
0.5 0.1; 118.05265241825245 31.521389718720624 39.33268455887661 3.315132249647574; 0.13583036680514277 0.11477053825424097 0.1145898037089689 0.11162398153806354
0.5 0.1; 118.02604419023663 31.118063473871143 38.73636672245141 1.278904494273402; 0.12681453093051456 0.11784537292300169 0.11565890799254092 0.11238977559530891
0.5 0.1; 120.75631195863954 27.660716177769284 38.83549175302628 1.0997075390831739; 0.126814755000092 0.11805574004380331 0.1156833659669048 0.1197282490612205
0.5 0.1; 120.92905720561602 27.534920336825376 40.58521938866808 0.8927239637064902; 0.1249446068331559 0.11757087682879255 0.12226885993851735 0.11956176698737896
0.5 0.1; 116.07376723823761 27.282536365294604 41.31766815128679 0.8827908660329647; 0.1257984751731758 0.11756057616803472 0.12231862239458738 0.12420381284376447
0.5 0.1; 116.01678767359039 25.913092800053093 42.33043386250869 0.5800535914927875; 0.12577566781216482 0.11750153639155567 0.1230489450694593 0.12406010405006922
0.5 0.1; 112.20671173182791 25.13700757859881 45.331003866111246 1.4265620673607704; 0.12798175035216552 0.1208429898895615 0.11944029992998509 0.12451413863316865
0.5 0.1; 112.15787158902131 25.13440602906173 45.34564002879653 9.27314022513982; 0.12810980313175785 0.12084535460045391 0.11943687453500675 0.12451595239484359
0.5 0.1; 112.11473261816862 25.22760410749593 45.53257591423068 15.711970343522136; 0.128043670887157 0.12087645998140553 0.11945176821828137 0.1250108855477394
0.5 0.1; 104.85192036086845 25.190632604195432 45.5676328747855 17.008789315805675; 0.1318507073608327 0.122917402584393 0.1194537788251954 0.1286832006865065
0.5 0.1; 104.45267124405217 24.960457688454976 45.80315353296924 18.89935160362063; 0.12979626083417675 0.12384002158288657 0.11878181025195857 0.12954426534926902
0.5 0.1; 102.5244317758539 21.236623817452152 45.7838256444382 20.013063169585447; 0.13267995669133767 0.12378222678729604 0.12110209438269366 0.12786979489219955
0.5 0.1; 102.27491140429643 20.63243911255829 45.972771288864905 20.751855178885453; 0.13267284549518837 0.12374783071116967 0.12110362619208327 0.1312668377160733
0.5 0.1; 102.252503361703 20.32596337761199 45.97654299596124 22.305072376872975; 0.13268548680848555 0.12377816862171816 0.12112363826202824 0.13126640802681971
0.5 0.1; 100.07990012684586 19.856412672460475 44.25054404156299 23.101255082306405; 0.13662149633161383 0.12381204867429065 0.12189299753012013 0.13541282877533603
0.5 0.1; 100.04897351359844 18.98026996710832 44.44175039831121 23.58181119443063; 0.13823882609293633 0.14551304049711694 0.12216336955966078 0.12186470374010115
0.5 0.1; 96.29058195092895 18.88356613451301 46.14275498035332 24.827692034447868; 0.13839217852195326 0.1465885895535082 0.12220650144575237 0.12546174627785656
0.5 0.1; 95.15728857642796 18.74152960385713 49.67799643424472 26.207949852839917; 0.13828892319926875 0.14662016242031664 0.12071607180432672 0.1270904695213892
0.5 0.1; 95.22973019894887 19.00336695268339 50.44343594306005 29.300566484729266; 0.14033129907274106 0.14705703086760422 0.12071862544461325 0.1268865564770319
0.5 0.1; 95.2964990751761 18.956065472196045 57.94512187877701 29.4801343413743; 0.13974851124581658 0.14696320636327168 0.12073054459177869 0.12842490194014045
0.5 0.1; 93.92920647558353 18.933272227663853 58.59333382886461 32.211718211787854; 0.13971788724761144 0.14211196985146352 0.126911329413962 0.13472990507578322
0.5 0.1; 92.36438236429171 15.740272921547803 58.807114653816996 34.27581544503667; 0.14803718092089746 0.1421412003862487 0.12836077049542732 0.1355662419908076
0.5 0.1; 92.76920770046497 14.625386206762192 58.807115786790526 34.29212519568277; 0.1514864030930832 0.1413790149730483 0.12843472651972573 0.13562570849855252
0.5 0.1; 91.21829136730716 14.385627819203822 62.02257971006311 35.04299701176879; 0.13706582327904637 0.14148416434417466 0.1290834910329571 0.13465563936914016
0.5 0.1; 91.01791948747066 14.51267403549573 70.22475665637697 35.03630586645628; 0.13632056811864954 0.14149474025919168 0.13025155791740764 0.134885095264361
0.5 0.1; 89.37906505702016 14.345101851346492 74.43438521686366 34.66495441370757; 0.13625896390593112 0.14153162898929686 0.13025241444667127 0.14512174580598797
0.5 0.1; 88.20920197544572 15.088622016895181 79.26051886654464 34.67508664101521; 0.13566564804653405 0.14158146203343505 0.13039287900010732 0.1426631893928589
0.5 0.1; 83.63483658843566 15.006157781814439 79.85140032991131 37.99248644827337; 0.1378222509331468 0.14107635088467432 0.13346780534161842 0.14261581093643688
0.5 0.1; 82.94830674171084 15.948341822594625 79.85455545382189 38.66798294851504; 0.1514609948485094 0.13800725294575653 0.1459930898797882 0.13749062530680853
0.5 0.1; 82.55245420612395 20.103822946147815 80.6149300870196 38.83541105316862; 0.15707904203795567 0.13697040279743905 0.16454882191100045 0.13698918030319274
0.5 0.1; 75.75067287800248 20.123705625198266 80.9290033745404 39.332867627176334; 0.15707886773741064 0.13683695206140264 0.164539596472824 0.13723877133233994
0.5 0.1; 70.42597348584299 20.41944178857727 80.96373335764746 39.64366974509291; 0.15291563502100378 0.13564279835007748 0.16779671608866062 0.13749714593249124
0.5 0.1; 69.96045490257326 20.30311630604599 81.66728055640311 39.77694879078578; 0.15308978902108364 0.1358323168065201 0.16811510595991855 0.14060044380081146
0.5 0.1; 69.96167258834488 19.515182657810755 83.21250352763461 45.456308132589974; 0.15326281735864036 0.13582980604282824 0.16810359528952673 0.1406448557871294
